driver,lap,pos,life,compound,time,avg_prev_3_time,pace_delta
BEA,11,10.0,11,MEDIUM,144.654,142.16,1.4556666666666729
OCO,11,11.0,11,MEDIUM,144.14,142.34533333333334,1.6410000000000196
LIN,11,12.0,11,MEDIUM,142.693,142.37599999999998,1.6716666666666526
PER,11,13.0,11,MEDIUM,142.406,141.58133333333333,0.8770000000000095
BOR,11,14.0,11,MEDIUM,141.504,141.381,0.6766666666666765
STR,11,15.0,11,MEDIUM,141.17,141.09366666666665,0.389333333333326
VER,11,16.0,5,HARD,139.443,141.56466666666665,0.8603333333333296
ALO,11,17.0,11,MEDIUM,137.815,141.60166666666666,0.8973333333333358
BOT,11,18.0,5,SOFT,136.82,140.70433333333332,0.0
LEC,12,1.0,12,MEDIUM,92.878,146.04633333333334,6.449333333333328
NOR,12,2.0,12,MEDIUM,92.556,145.86766666666665,6.270666666666642
ANT,12,3.0,12,MEDIUM,93.043,145.65166666666667,6.054666666666662
PIA,12,4.0,12,MEDIUM,93.518,144.773,5.175999999999988
RUS,12,5.0,12,MEDIUM,94.951,145.2653333333333,5.668333333333294
HAM,12,6.0,12,MEDIUM,94.726,144.45266666666666,4.85566666666665
COL,12,7.0,12,MEDIUM,95.134,143.92600000000002,4.329000000000008
ALB,12,8.0,12,MEDIUM,95.206,142.93433333333334,3.3373333333333335
SAI,12,9.0,12,MEDIUM,95.161,142.63066666666666,3.0336666666666474
BEA,12,10.0,12,MEDIUM,95.269,142.58033333333333,2.98333333333332
OCO,12,11.0,12,MEDIUM,95.213,142.42499999999998,2.8279999999999745
LIN,12,12.0,12,MEDIUM,96.776,142.27766666666665,2.6806666666666388
PER,12,13.0,12,MEDIUM,96.951,141.9003333333333,2.303333333333285
VER,12,14.0,6,HARD,95.784,140.7326666666667,1.1356666666666797
BOR,12,15.0,12,MEDIUM,97.16,141.63199999999998,2.034999999999968
STR,12,16.0,12,MEDIUM,97.442,140.99766666666667,1.400666666666666
ALO,12,17.0,12,MEDIUM,96.8,140.07966666666667,0.4826666666666597
BOT,12,18.0,6,SOFT,96.419,139.597,0.0
NOR,13,1.0,13,MEDIUM,92.894,127.51100000000001,3.725333333333353
ANT,13,2.0,13,MEDIUM,93.07,127.32599999999998,3.5403333333333222
LEC,13,3.0,13,MEDIUM,94.381,127.84433333333334,4.0586666666666815
PIA,13,4.0,13,MEDIUM,93.463,126.82033333333334,3.0346666666666806
RUS,13,5.0,13,MEDIUM,93.583,127.76733333333334,3.9816666666666833
HAM,13,6.0,13,MEDIUM,93.754,126.96133333333334,3.175666666666686
COL,13,7.0,13,MEDIUM,94.246,126.84866666666669,3.063000000000031
ALB,13,8.0,13,MEDIUM,94.553,126.83133333333332,3.045666666666662
SAI,13,9.0,13,MEDIUM,94.884,126.58766666666666,2.8020000000000067
BEA,13,10.0,13,MEDIUM,95.032,126.56966666666666,2.784000000000006
OCO,13,11.0,13,MEDIUM,95.07,126.44433333333332,2.6586666666666616
VER,13,12.0,7,HARD,93.56,125.133,1.3473333333333386
LIN,13,13.0,13,MEDIUM,95.706,126.80433333333332,3.018666666666661
BOR,13,14.0,13,MEDIUM,95.549,126.47933333333333,2.6936666666666724
PER,13,15.0,13,MEDIUM,96.605,126.50966666666666,2.7240000000000038
STR,13,16.0,13,MEDIUM,96.085,125.92933333333333,2.1436666666666753
ALO,13,17.0,13,MEDIUM,96.349,124.93666666666667,1.1510000000000105
BOT,13,18.0,7,SOFT,96.61,123.78566666666666,0.0
NOR,14,1.0,14,MEDIUM,92.794,112.10266666666666,2.506999999999991
ANT,14,2.0,14,MEDIUM,93.314,112.09233333333333,2.4966666666666555
LEC,14,3.0,14,MEDIUM,93.744,113.05066666666669,3.4550000000000125
PIA,14,4.0,14,MEDIUM,93.22,111.79633333333334,2.200666666666663
RUS,14,5.0,14,MEDIUM,93.818,112.83066666666666,3.234999999999985
HAM,14,6.0,14,MEDIUM,93.554,112.24933333333333,2.653666666666652
COL,14,7.0,14,MEDIUM,93.941,112.21966666666667,2.6239999999999952
ALB,14,8.0,14,MEDIUM,94.161,111.645,2.0493333333333226
SAI,14,9.0,14,MEDIUM,93.978,111.46933333333334,1.873666666666665
BEA,14,10.0,14,MEDIUM,94.617,111.65166666666666,2.055999999999983
OCO,14,11.0,14,MEDIUM,94.862,111.47433333333333,1.8786666666666605
VER,14,12.0,8,HARD,93.63,109.59566666666667,0.0
LIN,14,13.0,14,MEDIUM,95.233,111.72499999999998,2.1293333333333067
BOR,14,14.0,14,MEDIUM,95.807,111.40433333333333,1.808666666666653
PER,14,15.0,14,MEDIUM,96.571,111.98733333333332,2.3916666666666515
STR,14,16.0,14,MEDIUM,96.582,111.56566666666667,1.9699999999999989
ALO,14,17.0,14,MEDIUM,96.482,110.32133333333333,0.7256666666666547
BOT,14,18.0,8,SOFT,96.326,109.94966666666666,0.353999999999985
NOR,15,1.0,15,MEDIUM,92.987,92.748,0.0
ANT,15,2.0,15,MEDIUM,93.18,93.14233333333334,0.39433333333333564
LEC,15,3.0,15,MEDIUM,93.56,93.66766666666668,0.9196666666666715
PIA,15,4.0,15,MEDIUM,93.497,93.40033333333334,0.6523333333333312
